Player,Span.x,Mat.x,Inns.x,NO.x,Runs.x,HS.x,Ave.x,BF.x,SR.x,100.x,50.x,0.x,4s.x,6s.x,Country,From,To
GJ Maxwell ,2012-2021,72,65,9,1780,145*,31.78,1120,158.92,3,9,1,147,93,AUS,2012,2021
E Lewis ,2016-2021,45,44,3,1318,125*,32.14,834,158.03,2,9,4,95,103,WI,2016,2021
C Munro ,2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107,NZ,2012,2020
AD Russell ,2011-2021,62,52,18,716,51,21.05,458,156.33,0,1,7,40,60,WI,2011,2021
Hazratullah Zazai ,2016-2020,15,15,1,570,162*,40.71,367,155.31,1,2,1,49,40,AFG,2016,2020
DP Conway ,2020-2021,14,11,3,473,99*,59.12,313,151.11,0,4,0,49,14,NZ,2020,2021
GJ Delany ,2019-2020,23,21,3,436,89*,24.22,290,150.34,0,2,0,38,20,IRE,2019,2020
AJ Finch ,2011-2021,76,76,10,2473,172,37.46,1646,150.24,2,15,5,248,107,AUS,2011,2021
GD Phillips ,2017-2021,25,22,4,506,108,28.11,338,149.7,1,2,0,39,29,NZ,2017,2021
TP Visee ,2015-2021,31,31,0,496,78,16,339,146.31,0,3,5,68,17,NL,2015,2021
Mohammad Nabi ,2010-2021,81,75,11,1396,89,21.81,958,145.72,0,4,4,87,83,AFG,2010,2021
JJ Roy ,2014-2021,48,48,0,1193,78,24.85,819,145.66,0,6,6,125,54,ENG,2014,2021
HH Pandya ,2016-2021,49,33,8,484,42*,19.36,333,145.34,0,0,2,27,30,INDIA,2016,2021
H Klaasen ,2018-2021,23,23,5,434,69,24.11,299,145.15,0,3,1,30,21,SA,2018,2021
Rahmanullah Gurbaz ,2019-2021,13,13,0,446,87,34.3,310,143.87,0,3,2,36,28,AFG,2019,2021
C de Grandhomme ,2012-2020,36,34,7,487,59,18.03,340,143.23,0,3,4,27,29,NZ,2012,2020
Najibullah Zadran ,2012-2021,63,54,22,1060,72*,33.12,745,142.28,0,4,2,69,57,AFG,2012,2021
KL Rahul ,2016-2021,49,45,6,1557,110*,39.92,1095,142.19,2,12,4,138,63,INDIA,2016,2021
E Chigumbura ,2006-2020,57,56,9,893,54*,19,635,140.62,0,3,6,61,53,ZIM,2006,2020
JC Buttler ,2011-2021,82,74,15,1871,83*,31.71,1338,139.83,0,14,4,162,77,ENG,2011,2021
DA Warner ,2009-2020,81,81,9,2265,100*,31.45,1621,139.72,1,18,6,218,89,AUS,2009,2020
DJ Malan ,2017-2021,30,30,4,1123,103*,43.19,806,139.33,1,11,0,116,39,ENG,2017,2021
CH Gayle ,2006-2021,74,70,7,1854,117,29.42,1332,139.18,2,14,4,155,121,WI,2006,2021
V Kohli ,2010-2021,90,84,24,3159,94*,52.65,2272,139.04,0,28,3,285,90,INDIA,2010,2021
RG Sharma ,2007-2021,111,103,15,2864,118,32.54,2061,138.96,4,22,6,252,133,INDIA,2007,2021
PR Stirling ,2009-2021,81,80,6,2167,95,29.28,1564,138.55,0,18,9,254,74,IRE,2009,2021
EJG Morgan ,2009-2021,107,101,19,2360,91,28.78,1707,138.25,0,14,3,179,116,ENG,2009,2021
Q de Kock ,2012-2021,54,54,5,1605,79*,32.75,1163,138,0,9,3,162,64,SA,2012,2021
KA Pollard ,2008-2021,88,71,15,1378,75*,24.6,999,137.93,0,6,2,80,93,WI,2008,2021
SA Edwards ,2018-2021,33,26,8,402,42*,22.33,293,137.2,0,0,1,39,8,NL,2018,2021
JM Bairstow ,2011-2021,57,51,10,1143,86*,27.87,834,137.05,0,7,4,106,47,ENG,2011,2021
BA Stokes ,2011-2021,34,28,6,442,47*,20.09,323,136.84,0,0,1,34,20,ENG,2011,2021
MJ Guptill ,2009-2021,102,98,7,2939,105,32.29,2148,136.82,2,17,3,256,147,NZ,2009,2021
Fakhar Zaman ,2017-2021,53,48,1,1021,91,21.72,749,136.31,0,5,3,112,34,PAK,2017,2021
MM Ali ,2014-2021,38,35,8,437,72*,16.18,321,136.13,0,2,6,40,20,ENG,2014,2021
KJ O'Brien ,2008-2021,99,92,10,1674,124,20.41,1238,135.21,1,3,12,137,76,IRE,2008,2021
HE van der Dussen ,2018-2021,27,26,5,756,74*,36,561,134.75,0,5,1,45,34,SA,2018,2021
Liton Das ,2015-2021,33,32,1,646,61,20.83,482,134.02,0,4,3,62,25,BDESH,2015,2021
SS Iyer ,2017-2021,29,26,7,550,67,28.94,411,133.81,0,3,2,44,22,INDIA,2017,2021
MP Stoinis ,2015-2021,28,23,8,376,78,25.06,281,133.8,0,1,1,34,13,AUS,2015,2021
TL Seifert ,2018-2021,35,32,4,695,84*,24.82,522,133.14,0,5,2,57,37,NZ,2018,2021
Sharjeel Khan ,2013-2021,21,18,0,406,59,22.55,305,133.11,0,2,0,53,15,PAK,2013,2021
MDKJ Perera ,2013-2021,50,49,0,1347,84,27.48,1013,132.97,0,12,0,124,48,SL,2013,2021
N Dickwella ,2016-2021,28,27,1,480,68,18.46,366,131.14,0,1,2,61,9,SL,2016,2021
Babar Azam ,2016-2021,61,56,9,2204,122,46.89,1687,130.64,1,20,2,231,33,PAK,2016,2021
HT Tector ,2019-2021,23,21,4,408,60,24,314,129.93,0,1,0,30,11,IRE,2019,2021
SPD Smith ,2010-2020,45,37,8,794,90,27.37,613,129.52,0,4,1,66,21,AUS,2010,2020
A Balbirnie ,2015-2021,46,42,2,1000,83,25,773,129.36,0,4,3,120,13,IRE,2015,2021
Mohammad Rizwan ,2015-2021,43,32,10,1065,104*,48.4,825,129.09,1,8,3,96,30,PAK,2015,2021
SC Williams ,2006-2021,47,47,5,945,66,22.5,736,128.39,0,6,4,90,27,ZIM,2006,2021
BKG Mendis ,2016-2021,29,29,0,538,79,18.55,423,127.18,0,5,3,44,23,SL,2016,2021
T Bavuma ,2019-2021,16,16,1,410,72,27.33,323,126.93,0,1,2,37,10,SA,2019,2021
MJ Santner ,2015-2021,52,37,15,335,37,15.22,264,126.89,0,0,4,24,11,NZ,2015,2021
Sarfaraz Ahmed ,2010-2021,60,41,12,812,89*,28,641,126.67,0,3,2,79,15,PAK,2010,2021
S Dhawan ,2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50,INDIA,2011,2021
MK Pandey ,2015-2020,39,33,17,709,79*,44.31,562,126.15,0,3,2,49,19,INDIA,2015,2020
MP O'Dowd ,2015-2021,40,39,3,1038,133*,28.83,829,125.21,1,6,0,104,26,NL,2015,2021
KS Williamson ,2011-2021,67,65,8,1805,95,31.66,1443,125.08,0,13,3,182,41,NZ,2011,2021
W Madhevere ,2020-2021,13,13,1,355,73,29.58,284,125,0,4,1,36,6,ZIM,2020,2021
BN Cooper ,2013-2021,56,53,11,1230,91*,29.28,984,125,0,9,6,116,38,NL,2013,2021
MC Henriques ,2009-2021,24,21,4,355,62*,20.88,285,124.56,0,2,0,17,15,AUS,2009,2021
N Pooran ,2016-2021,41,34,6,634,62*,22.64,511,124.07,0,3,2,46,37,WI,2016,2021
MS Wade ,2011-2021,48,39,5,655,80,19.26,529,123.81,0,3,1,48,25,AUS,2011,2021
Asif Ali ,2018-2021,29,27,6,344,41*,16.38,278,123.74,0,0,1,15,19,PAK,2018,2021
Soumya Sarkar ,2015-2021,61,61,3,1105,68,19.05,894,123.6,0,5,9,109,43,BDESH,2015,2021
Afif Hossain ,2018-2021,23,19,1,315,52,17.5,255,123.52,0,1,2,26,11,BDESH,2018,2021
LMP Simmons ,2007-2021,66,65,10,1508,91*,27.41,1222,123.4,0,9,6,140,68,WI,2007,2021
RR Pant ,2017-2021,33,29,5,512,65*,21.33,416,123.07,0,2,3,39,21,INDIA,2017,2021
RR Hendricks ,2014-2021,33,33,0,881,74,26.69,717,122.87,0,6,2,104,14,SA,2014,2021
Shakib Al Hasan ,2006-2021,84,83,10,1718,84,23.53,1402,122.53,0,9,5,178,35,BDESH,2006,2021
LRPL Taylor ,2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71,NZ,2006,2020
MD Gunathilaka ,2016-2021,30,29,0,568,57,19.58,467,121.62,0,3,0,61,14,SL,2016,2021
Gulbadin Naib ,2012-2020,48,39,11,495,56*,17.67,408,121.32,0,1,3,34,24,AFG,2012,2020
Mahmudullah ,2007-2021,97,89,18,1651,64*,23.25,1362,121.21,0,5,4,129,51,BDESH,2007,2021
Mohammad Hafeez ,2006-2021,113,103,11,2429,99*,26.4,2008,120.96,0,14,7,241,74,PAK,2006,2021
R Powell ,2017-2021,30,22,3,344,54,18.1,285,120.7,0,2,2,29,14,WI,2017,2021
RP Burl ,2018-2021,28,24,7,462,57*,27.17,384,120.31,0,1,0,24,22,ZIM,2018,2021
MR Marsh ,2011-2021,30,30,5,700,75,28,582,120.27,0,4,1,53,27,AUS,2011,2021
Mushfiqur Rahim ,2006-2020,86,77,13,1282,72*,20.03,1068,120.03,0,5,5,110,33,BDESH,2006,2020
